Date|Period|ptdfFR|ptdfDE|ptdfAT|ptdfBE|ptdfNL|ram|Class|idDayType|TypicalDay
2019-01-22|2|-0.24833|-0.1605|-0.18189|-0.35719|0|870|winterSe|1|TRUE
2019-01-22|2|0.01299|0.01299|0.06508|0.01067|0|280|winterSe|1|TRUE
2019-01-22|2|0.01939|0.01939|0.06849|0.01368|0|280|winterSe|1|TRUE
2019-01-22|2|0|0|-0.12133|-0.00043|0|596|winterSe|1|TRUE
2019-01-22|2|0.00112|0.00252|-0.11943|0.00112|0|603|winterSe|1|TRUE
2019-01-22|2|-0.24442|-0.1548|-0.17641|-0.35646|0|870|winterSe|1|TRUE
2019-01-22|2|0.00357|0|0.05709|0|0|291|winterSe|1|TRUE
2019-01-22|2|0.00133|0.00251|-0.11889|0|0|602|winterSe|1|TRUE
2019-01-22|2|-0.00812|0|-0.11896|-0.00185|0|596|winterSe|1|TRUE
2019-01-22|2|0.00047|0.00413|-0.11709|0.00047|0|603|winterSe|1|TRUE
2019-01-22|2|-0.01747|0.00295|-0.00454|0.07915|0.02818|346|winterSe|1|TRUE
2019-01-22|2|7e-05|-0.00257|0.05608|0|0|295|winterSe|1|TRUE
2019-01-22|2|0.00883|-0.01836|-0.20146|0.00224|0|972|winterSe|1|TRUE
2019-01-22|2|0.00262|0|-0.19724|0.00262|0|972|winterSe|1|TRUE
2019-01-22|2|-0.01042|0.01477|0.17595|-0.00389|0|837|winterSe|1|TRUE
2019-01-22|2|0.00474|-0.00152|0.05478|0|0|295|winterSe|1|TRUE
2019-01-22|2|0|-0.00521|0.05103|0|0|290|winterSe|1|TRUE
2019-01-22|2|0|0|-0.12261|0.00141|0|603|winterSe|1|TRUE
2019-01-22|2|-0.28062|-0.17164|-0.19754|-0.35609|0|870|winterSe|1|TRUE
2019-01-22|2|0.00189|0.00189|-0.11883|0.00055|0|597|winterSe|1|TRUE
2019-01-22|2|-0.01049|0.0167|0.17712|-0.00226|0|837|winterSe|1|TRUE
2019-01-22|2|-0.00927|-0.01623|0.03571|-0.00938|0|294|winterSe|1|TRUE
2019-01-22|2|0.00305|-0.01729|-0.20453|0.00191|0|972|winterSe|1|TRUE
2019-01-22|2|0.00033|0.00068|-0.00181|0.08112|0.01823|359|winterSe|1|TRUE
2019-01-22|2|-0.256|-0.15532|-0.17971|-0.35428|0|870|winterSe|1|TRUE
2019-01-22|2|-0.27595|-0.17587|-0.20043|-0.35676|0|870|winterSe|1|TRUE
2019-01-22|2|0.00084|0.00084|-0.12155|0.00197|0|603|winterSe|1|TRUE
2019-01-22|2|-0.00038|-0.00038|-0.12176|-0.00038|0|596|winterSe|1|TRUE
2019-01-22|2|-0.00884|-0.01329|0.03978|-0.00985|0|294|winterSe|1|TRUE
2019-01-22|2|0.003|-0.0018|0.05513|0.003|0|290|winterSe|1|TRUE
2019-01-22|2|0.02442|0.02442|0.07169|0.01835|0|280|winterSe|1|TRUE
2019-01-22|2|-0.00892|0.01674|0.17753|-0.00392|0|837|winterSe|1|TRUE
2019-01-22|2|0.01022|-0.01831|-0.20085|0.00355|0|972|winterSe|1|TRUE
2019-01-22|2|0.00885|-0.01842|-0.20204|0.00481|0|972|winterSe|1|TRUE
2019-01-22|2|0.00421|0|0.05624|-0.00043|0|290|winterSe|1|TRUE
2019-01-22|2|-1e-05|-0.00282|0.05474|0|0|290|winterSe|1|TRUE
2019-01-22|2|0.00603|0|0.05635|0.0035|0|291|winterSe|1|TRUE
2019-01-22|2|0.01009|-0.01854|-0.20115|0.00407|0|972|winterSe|1|TRUE
2019-01-22|2|0.00298|-0.00152|0.05477|-0.00173|0|294|winterSe|1|TRUE
