"mcYear";"timeId";"area";"time";"day";"month";"hour";"BALANCE";"UNSP. ENRG";"LOLD";"DTG MRG"
589;3834;"fr";2017-12-07 17:00:00;7;"DEC";"17:00";-6853;0;0;0
589;3834;"nl";2017-12-07 17:00:00;7;"DEC";"17:00";-1000;285;1;0
589;3930;"be";2017-12-11 17:00:00;11;"DEC";"17:00";-1029;1769;1;0
589;3930;"de";2017-12-11 17:00:00;11;"DEC";"17:00";-5502;558;1;7481
589;3930;"fr";2017-12-11 17:00:00;11;"DEC";"17:00";-7896;276;1;0
589;3930;"nl";2017-12-11 17:00:00;11;"DEC";"17:00";-1000;1310;1;0
600;4815;"be";2018-01-17 14:00:00;17;"JAN";"14:00";-1425;35;1;0
600;4815;"de";2018-01-17 14:00:00;17;"JAN";"14:00";6866;0;0;10686
600;4815;"fr";2018-01-17 14:00:00;17;"JAN";"14:00";-9607;2545;1;0
600;4815;"nl";2018-01-17 14:00:00;17;"JAN";"14:00";-996;0;0;0
