area,mcYear,timeId,time,day,month,hour,BALANCE,UNSP. ENRG,LOLD,DTG MRG
nl,224,4691,2018-01-12 10:00:00,12,JAN,10:00,-2164,3121,1,0
nl,224,4696,2018-01-12 15:00:00,12,JAN,15:00,-2706,2299,1,0
be,360,4646,2018-01-10 13:00:00,10,JAN,13:00,-1830,1,1,0
be,360,4647,2018-01-10 14:00:00,10,JAN,14:00,-1741,23,1,0
de,360,4646,2018-01-10 13:00:00,10,JAN,13:00,8100,0,0,8835
de,360,4647,2018-01-10 14:00:00,10,JAN,14:00,6454,0,0,8895
fr,360,4646,2018-01-10 13:00:00,10,JAN,13:00,-11786,3,1,0
fr,360,4647,2018-01-10 14:00:00,10,JAN,14:00,-10282,129,1,0
nl,360,4646,2018-01-10 13:00:00,10,JAN,13:00,-524,0,0,0
nl,360,4647,2018-01-10 14:00:00,10,JAN,14:00,-882,0,0,0
be,589,3834,2017-12-07 17:00:00,7,DEC,17:00,-2406,528,1,0
be,589,3930,2017-12-11 17:00:00,11,DEC,17:00,-1029,1769,1,0
de,589,3834,2017-12-07 17:00:00,7,DEC,17:00,-4102,985,1,7001
de,589,3930,2017-12-11 17:00:00,11,DEC,17:00,-5502,558,1,7481
fr,589,3834,2017-12-07 17:00:00,7,DEC,17:00,-6853,0,0,0
fr,589,3930,2017-12-11 17:00:00,11,DEC,17:00,-7896,276,1,0
nl,589,3834,2017-12-07 17:00:00,7,DEC,17:00,-1000,285,1,0
nl,589,3930,2017-12-11 17:00:00,11,DEC,17:00,-1000,1310,1,0
be,600,4815,2018-01-17 14:00:00,17,JAN,14:00,-1319,141,1,0
de,600,4815,2018-01-17 14:00:00,17,JAN,14:00,6866,0,0,10686
fr,600,4815,2018-01-17 14:00:00,17,JAN,14:00,-9713,2439,1,0
nl,600,4815,2018-01-17 14:00:00,17,JAN,14:00,-996,0,0,0
